	0	1	2	3
9	Aug 24th 2014	http://www.profightdb.com/cards/wwe/live-fresno-show-18853.html	Fresno	California
0	Aug 24th 2014	http://www.profightdb.com/cards/wwe/live-bakersfield-show-18845.html	Bakersfield	California
1	Aug 23rd 2014	http://www.profightdb.com/cards/wwe/wwe-live-18841.html	San Diego	California
2	Aug 23rd 2014	http://www.profightdb.com/cards/wwe/wwe-live-18833.html	Sacramento	California
3	Aug 22nd 2014	http://www.profightdb.com/cards/wwe/wwe-live-18834.html	Stockton	California
4	Aug 19th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18760.html	Phoenix	Arizona
5	Aug 19th 2014	http://www.profightdb.com/cards/wwe/main-event-18759.html	Phoenix	Arizona
6	Aug 18th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-18755.html	Las Vegas	Nevada
7	Aug 18th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18754.html	Las Vegas	Nevada
8	Aug 17th 2014	http://www.profightdb.com/cards/wwe/summerslam-3914-18748.html	Los Angeles	California
9	Aug 12th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18685.html	Seattle	Washington
0	Aug 12th 2014	http://www.profightdb.com/cards/wwe/main-event-18684.html	Seattle	Washington
1	Aug 11th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18665.html	Portland	Oregon
2	Aug 11th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-hulk-hogan39s-birthday-celebration-18664.html	Portland	Oregon
3	Aug 9th 2014	http://www.profightdb.com/cards/wwe/wwe-live-18625.html	Perth	Western Australia
4	Aug 8th 2014	http://www.profightdb.com/cards/wwe/wwe-live-18612.html	Sydney	New South Wales
5	Aug 7th 2014	http://www.profightdb.com/cards/wwe/wwe-live-18606.html	Melbourne	Victoria
6	Aug 5th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18586.html	Laredo	Texas
7	Aug 5th 2014	http://www.profightdb.com/cards/wwe/main-event-18585.html	Laredo	Texas
8	Aug 4th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18569.html	Austin	Texas
9	Aug 4th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-18566.html	Austin	Texas
0	Jul 29th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18451.html	Corpus Christi	Texas
1	Jul 29th 2014	http://www.profightdb.com/cards/wwe/main-event-18450.html	Corpus Christi	Texas
2	Jul 28th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18433.html	Houston	Texas
3	Jul 28th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-18432.html	Houston	Texas
4	Jul 22nd 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18303.html	Orlando	Florida
5	Jul 22nd 2014	http://www.profightdb.com/cards/wwe/main-event-18298.html	Orlando	Florida
6	Jul 21st 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18294.html	Miami	Florida
7	Jul 21st 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-18293.html	Miami	Florida
8	Jul 20th 2014	http://www.profightdb.com/cards/wwe/battleground-3914-18278.html	Tampa	Florida
9	Jul 15th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18265.html	Fayetteville	North Carolina
0	Jul 15th 2014	http://www.profightdb.com/cards/wwe/main-event-18264.html	Fayetteville	North Carolina
1	Jul 14th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18261.html	Richmond	Virginia
2	Jul 14th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-18258.html	Richmond	Virginia
3	Jul 12th 2014	http://www.profightdb.com/cards/wwe/summer-heatwave-tour-18247.html	New York	New York
4	Jul 12th 2014	http://www.profightdb.com/cards/wwe/wwe-live-18207.html	Osaka	Osaka
5	Jul 11th 2014	http://www.profightdb.com/cards/wwe/wwe-live-18205.html	Tokyo	Tokyo
6	Jul 10th 2014	http://www.profightdb.com/cards/wwe/wwe-live-18204.html	Tokyo	Tokyo
7	Jul 8th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18195.html	Ottawa	Ontario
8	Jul 8th 2014	http://www.profightdb.com/cards/wwe/main-event-18193.html	Ottawa	Ontario
9	Jul 7th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18187.html	Montreal	Quebec
0	Jul 7th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-18186.html	Montreal	Quebec
1	Jul 1st 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18165.html	Newark	New Jersey
2	Jul 1st 2014	http://www.profightdb.com/cards/wwe/main-event-18164.html	Newark	New Jersey
3	Jun 30th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-18163.html	Hartford	Connecticut
4	Jun 30th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18162.html	Hartford	Connecticut
5	Jun 29th 2014	http://www.profightdb.com/cards/wwe/money-in-the-bank-3914-18160.html	Boston	Massachusetts
6	Jun 24th 2014	http://www.profightdb.com/cards/wwe/main-event-18150.html	Pittsburgh	Pennsylvania
7	Jun 24th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18149.html	Pittsburgh	Pennsylvania
8	Jun 23rd 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18147.html	Washington	DC
9	Jun 23rd 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-18146.html	Washington	DC
0	Jun 17th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18137.html	Columbus	Ohio
1	Jun 17th 2014	http://www.profightdb.com/cards/wwe/main-event-18136.html	Columbus	Ohio
2	Jun 16th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-18135.html	Cleveland	Ohio
3	Jun 16th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18134.html	Cleveland	Ohio
4	Jun 10th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18121.html	Green Bay	Wisconsin
5	Jun 10th 2014	http://www.profightdb.com/cards/wwe/main-event-18120.html	Green Bay	Wisconsin
6	Jun 9th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-18119.html	Minneapolis	Minnesota
