	0	1
6	http://www.profightdb.com/wrestlers/andrew-martin-281.html	http://www.profightdb.com/wrestlers/sean-morley-270.html
7	http://www.profightdb.com/wrestlers/chris-jericho-296.html	http://www.profightdb.com/wrestlers/edge-273.html
8	http://www.profightdb.com/wrestlers/kane-197.html	http://www.profightdb.com/wrestlers/kurt-angle-299.html
0	http://www.profightdb.com/wrestlers/dallas-page-342.html	http://www.profightdb.com/wrestlers/christian-277.html
1	http://www.profightdb.com/wrestlers/jazz-344.html	http://www.profightdb.com/wrestlers/nora-greenwald-318.html
2	http://www.profightdb.com/wrestlers/billy-gunn-158.html	http://www.profightdb.com/wrestlers/jeff-hardy-289.html
3	http://www.profightdb.com/wrestlers/brock-lesnar-346.html	http://www.profightdb.com/wrestlers/spike-dudley-325.html
4	http://www.profightdb.com/wrestlers/rob-van-dam-338.html	http://www.profightdb.com/wrestlers/william-regal-316.html
5	http://www.profightdb.com/wrestlers/john-layfield-207.html	http://www.profightdb.com/wrestlers/bully-ray-294.html
6	http://www.profightdb.com/wrestlers/booker-t-341.html	http://www.profightdb.com/wrestlers/taz-302.html
7	http://www.profightdb.com/wrestlers/scott-hall-147.html	http://www.profightdb.com/wrestlers/fatu-154.html
8	http://www.profightdb.com/wrestlers/triple-h-193.html	http://www.profightdb.com/wrestlers/kevin-nash-167.html
0	http://www.profightdb.com/wrestlers/dallas-page-342.html	http://www.profightdb.com/wrestlers/booker-t-341.html
1	http://www.profightdb.com/wrestlers/billy-gunn-158.html	http://www.profightdb.com/wrestlers/bully-ray-294.html
2	http://www.profightdb.com/wrestlers/hulk-hogan-19.html	http://www.profightdb.com/wrestlers/kevin-nash-167.html
3	http://www.profightdb.com/wrestlers/chris-jericho-296.html	http://www.profightdb.com/wrestlers/matt-hardy-288.html
4	http://www.profightdb.com/wrestlers/raven-315.html	http://www.profightdb.com/wrestlers/maven-345.html
5	http://www.profightdb.com/wrestlers/kurt-angle-299.html	http://www.profightdb.com/wrestlers/ric-flair-138.html
0	http://www.profightdb.com/wrestlers/jazz-344.html	http://www.profightdb.com/wrestlers/nora-greenwald-318.html
1	http://www.profightdb.com/wrestlers/lance-storm-327.html	http://www.profightdb.com/wrestlers/scott-taylor-261.html
2	http://www.profightdb.com/wrestlers/edge-273.html	http://www.profightdb.com/wrestlers/goldust-123.html
3	http://www.profightdb.com/wrestlers/william-regal-316.html	http://www.profightdb.com/wrestlers/tajiri-337.html
4	http://www.profightdb.com/wrestlers/rob-van-dam-338.html	http://www.profightdb.com/wrestlers/andrew-martin-281.html
0	http://www.profightdb.com/wrestlers/taz-302.html	http://www.profightdb.com/wrestlers/curt-hennig-100.html
1	http://www.profightdb.com/wrestlers/booker-t-341.html	http://www.profightdb.com/wrestlers/dallas-page-342.html
2	http://www.profightdb.com/wrestlers/trish-stratus-313.html	http://www.profightdb.com/wrestlers/lisa-moretti-293.html
3	http://www.profightdb.com/wrestlers/kevin-nash-167.html	http://www.profightdb.com/wrestlers/hulk-hogan-19.html
4	http://www.profightdb.com/wrestlers/jeff-hardy-289.html	http://www.profightdb.com/wrestlers/billy-gunn-158.html
5	http://www.profightdb.com/wrestlers/rob-van-dam-338.html	http://www.profightdb.com/wrestlers/kurt-angle-299.html
6	http://www.profightdb.com/wrestlers/triple-h-193.html	http://www.profightdb.com/wrestlers/chris-jericho-296.html
0	http://www.profightdb.com/wrestlers/lance-storm-327.html	http://www.profightdb.com/wrestlers/sean-morley-270.html
1	http://www.profightdb.com/wrestlers/tommy-dreamer-359.html	http://www.profightdb.com/wrestlers/raven-315.html
2	http://www.profightdb.com/wrestlers/andrew-martin-281.html	http://www.profightdb.com/wrestlers/spike-dudley-325.html
3	http://www.profightdb.com/wrestlers/funaki-267.html	http://www.profightdb.com/wrestlers/billy-kidman-333.html
0	http://www.profightdb.com/wrestlers/booker-t-341.html	http://www.profightdb.com/wrestlers/edge-273.html
1	http://www.profightdb.com/wrestlers/lita-312.html	http://www.profightdb.com/wrestlers/lisa-moretti-293.html
2	http://www.profightdb.com/wrestlers/william-regal-316.html	http://www.profightdb.com/wrestlers/dallas-page-342.html
3	http://www.profightdb.com/wrestlers/andrew-martin-281.html	http://www.profightdb.com/wrestlers/tajiri-337.html
4	http://www.profightdb.com/wrestlers/hurricane-helms-343.html	http://www.profightdb.com/wrestlers/nora-greenwald-318.html
5	http://www.profightdb.com/wrestlers/billy-gunn-158.html	http://www.profightdb.com/wrestlers/jeff-hardy-289.html
6	http://www.profightdb.com/wrestlers/the-rock-229.html	http://www.profightdb.com/wrestlers/kevin-nash-167.html
0	http://www.profightdb.com/wrestlers/sean-morley-270.html	http://www.profightdb.com/wrestlers/lance-storm-327.html
1	http://www.profightdb.com/wrestlers/kane-197.html	http://www.profightdb.com/wrestlers/bully-ray-294.html
2	http://www.profightdb.com/wrestlers/fatu-154.html	http://www.profightdb.com/wrestlers/goldust-123.html
3	http://www.profightdb.com/wrestlers/rob-van-dam-338.html	http://www.profightdb.com/wrestlers/curt-hennig-100.html
0	http://www.profightdb.com/wrestlers/rob-van-dam-338.html	http://www.profightdb.com/wrestlers/christian-277.html
1	http://www.profightdb.com/wrestlers/lita-312.html	http://www.profightdb.com/wrestlers/trish-stratus-313.html
2	http://www.profightdb.com/wrestlers/edge-273.html	http://www.profightdb.com/wrestlers/booker-t-341.html
3	http://www.profightdb.com/wrestlers/maven-345.html	http://www.profightdb.com/wrestlers/al-snow-210.html
4	http://www.profightdb.com/wrestlers/billy-gunn-158.html	http://www.profightdb.com/wrestlers/bully-ray-294.html
5	http://www.profightdb.com/wrestlers/hulk-hogan-19.html	http://www.profightdb.com/wrestlers/kevin-nash-167.html
0	http://www.profightdb.com/wrestlers/john-layfield-207.html	http://www.profightdb.com/wrestlers/ray-traylor-95.html
1	http://www.profightdb.com/wrestlers/sean-morley-270.html	http://www.profightdb.com/wrestlers/lance-storm-327.html
2	http://www.profightdb.com/wrestlers/jason-albert-292.html	http://www.profightdb.com/wrestlers/mike-lockwood-291.html
0	http://www.profightdb.com/wrestlers/jason-albert-292.html	http://www.profightdb.com/wrestlers/lance-storm-327.html
0	http://www.profightdb.com/wrestlers/rob-van-dam-338.html	http://www.profightdb.com/wrestlers/william-regal-316.html
1	http://www.profightdb.com/wrestlers/dallas-page-342.html	http://www.profightdb.com/wrestlers/christian-277.html
2	http://www.profightdb.com/wrestlers/maven-345.html	http://www.profightdb.com/wrestlers/goldust-123.html
3	http://www.profightdb.com/wrestlers/spike-dudley-325.html	http://www.profightdb.com/wrestlers/maven-345.html
4	http://www.profightdb.com/wrestlers/hurricane-helms-343.html	http://www.profightdb.com/wrestlers/spike-dudley-325.html
5	http://www.profightdb.com/wrestlers/kurt-angle-299.html	http://www.profightdb.com/wrestlers/kane-197.html
6	http://www.profightdb.com/wrestlers/the-undertaker-124.html	http://www.profightdb.com/wrestlers/ric-flair-138.html
7	http://www.profightdb.com/wrestlers/edge-273.html	http://www.profightdb.com/wrestlers/booker-t-341.html
8	http://www.profightdb.com/wrestlers/nora-greenwald-318.html	http://www.profightdb.com/wrestlers/hurricane-helms-343.html
9	http://www.profightdb.com/wrestlers/steve-austin-205.html	http://www.profightdb.com/wrestlers/scott-hall-147.html
10	http://www.profightdb.com/wrestlers/billy-gunn-158.html	http://www.profightdb.com/wrestlers/john-layfield-207.html
11	http://www.profightdb.com/wrestlers/christian-277.html	http://www.profightdb.com/wrestlers/nora-greenwald-318.html
12	http://www.profightdb.com/wrestlers/the-rock-229.html	http://www.profightdb.com/wrestlers/hulk-hogan-19.html
13	http://www.profightdb.com/wrestlers/jazz-344.html	http://www.profightdb.com/wrestlers/lita-312.html
14	http://www.profightdb.com/wrestlers/maven-345.html	http://www.profightdb.com/wrestlers/christian-277.html
